SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-31-2017,Single Family Residential,1064 Alcatraz Ave,Oakland,CA,94608,1160000,3,2.0,Golden Gate,1377,4200,1910,20,842,,Sold,,,http://www.redfin.com/CA/Oakland/1064-Alcatraz-Ave-94608/home/1030241,EBRD/CCAR/Bay East,40792662,Y,Y,37.847443,-122.2827209
PAST SALE,September-6-2017,Condo/Co-op,527 66Th St,Oakland,CA,94609,800000,1,1.0,N Oakland,1100,,1923,14,727,225,Sold,,,http://www.redfin.com/CA/Oakland/527-66th-St-94609/home/1038599,EBRD/CCAR/Bay East,40792316,N,Y,37.8517402,-122.2610561
PAST SALE,March-24-2017,Single Family Residential,255 Grizzly Peak Blvd,Kensington,CA,94708,1300000,3,2.0,Berkeley Woods,1519,7820,1951,180,856,,Sold,,,http://www.redfin.com/CA/Kensington/255-Grizzly-Peak-Blvd-94708/home/1402183,EBRD/CCAR/Bay East,40771842,N,Y,37.9087798,-122.2706115
PAST SALE,June-2-2017,Single Family Residential,256 Purdue Ave,Kensington,CA,94708-1137,750000,2,1.0,Kensington,1149,4000,1940,110,653,,Sold,,,http://www.redfin.com/CA/Kensington/256-Purdue-Ave-94708/home/1873150,EBRD/CCAR/Bay East,40778217,N,Y,37.9078711,-122.2726386
PAST SALE,June-30-2017,Single Family Residential,344 Coventry Rd,Kensington,CA,94707,1600000,3,3.0,Lower Kensington,2151,4784,1928,82,744,,Sold,,,http://www.redfin.com/CA/Kensington/344-Coventry-Rd-94707/home/946537,EBRD/CCAR/Bay East,40782720,N,Y,37.9005623,-122.2869828
PAST SALE,July-26-2017,Single Family Residential,80 Ardmore Rd,Kensington,CA,94707,1018000,2,1.5,Kensington Park,1198,2650,1929,56,850,,Sold,,,http://www.redfin.com/CA/Kensington/80-Ardmore-Rd-94707/home/1860594,EBRD/CCAR/Bay East,40785433,N,Y,37.9054361,-122.2809174
PAST SALE,July-31-2017,Single Family Residential,257 Colgate Ave,Kensington,CA,94708,850000,2,1.0,Upper Kensington,1035,4000,1938,51,821,,Sold,,,http://www.redfin.com/CA/Kensington/257-Colgate-Ave-94708/home/1313634,EBRD/CCAR/Bay East,40786364,N,Y,37.9078809,-122.2730866
PAST SALE,August-30-2017,Single Family Residential,291 Lake Dr,Kensington,CA,94708,1355000,3,2.0,Upper Kensington,1808,5500,1945,21,749,,Sold,,,http://www.redfin.com/CA/Kensington/291-Lake-Dr-94708/home/1672844,EBRD/CCAR/Bay East,40790676,N,Y,37.9074539,-122.270874
PAST SALE,April-14-2017,Vacant Land,114 Evergreen,Oakland,CA,94705,260000,,,Oakland,,6767,,159,,,Sold,,,http://www.redfin.com/CA/OAKLAND/114-EVERGREEN-LN-94603/home/22690362,EBRD/CCAR/Bay East,40749757,N,Y,37.860607,-122.238845
PAST SALE,April-21-2017,Single Family Residential,220 Stonewall Rd,Berkeley,CA,94705,1230000,3,3.0,Berkeley,1969,9620,1928,152,625,,Sold,,,http://www.redfin.com/CA/Berkeley/220-Stonewall-Rd-94705/home/911619,EBRD/CCAR/Bay East,40773805,N,Y,37.8614932,-122.2415816
PAST SALE,July-18-2017,Single Family Residential,2932 Pine Ave,Berkeley,CA,94705,1550000,2,2.0,Elmwood,1322,3600,1906,64,1172,,Sold,,,http://www.redfin.com/CA/Berkeley/2932-Pine-Ave-94705/home/655148,EBRD/CCAR/Bay East,40786375,N,Y,37.8574298,-122.2485381
